position;id_category;id_product;reference;id_shop_default;ean13;price_tax_excluded;ecotax_tax_excluded;id_tax_rules_group;active;price_professionnel;price_particulier;price_professionnel_raw;price_particulier_raw;price_tax_included_particulier;price_tax_included_professionnel;name;link_rewrite;category;id_image;legend;final_price_tax_excluded;quantity
939;122;11397;NSB-5051888210543;1;5051888210543;0.000000;0.000000;70;1;"29.16 €";"29.16 €";29.160000;29.160000;"34.99 €";"34.99 €";"Person of Interest-Saison 3 [Blu-Ray]";person-of-interest-saison-3-blu-ray-;"DVD & Blueray";21330;;0.000000;1
938;122;11396;NSB-5051888169469;1;5051888169469;0.000000;0.000000;70;1;"29.16 €";"29.16 €";29.160000;29.160000;"34.99 €";"34.99 €";"Person of Interest-Saison 2 [Blu-Ray]";person-of-interest-saison-2-blu-ray-;"DVD & Blueray";21327;;0.000000;1
937;122;11395;NSB-5051888250952;1;5051888250952;0.000000;0.000000;70;1;"30.00 €";"30.00 €";30.000000;30.000000;"36.00 €";"36.00 €";"Pennyworth Saison 1 DVD";pennyworth-saison-1-dvd;"DVD & Blueray";21324;;0.000000;1
936;122;11394;NSB-3344429006524;1;3344429006524;0.000000;0.000000;70;1;"16.62 €";"16.62 €";16.620000;16.620000;"19.94 €";"19.94 €";"Pendez-Les Haut et Court";pendez-les-haut-et-court;"DVD & Blueray";21321;;0.000000;1
935;122;11393;NSB-3475001062192;1;3475001062192;0.000000;0.000000;70;1;"10.83 €";"10.83 €";10.830000;10.830000;"13.00 €";"13.00 €";"Parallel DVD";parallel-dvd;"DVD & Blueray";21318;;0.000000;1
934;122;11392;NSB-3475001062208;1;3475001062208;0.000000;0.000000;70;1;"14.13 €";"14.13 €";14.130000;14.130000;"16.96 €";"16.96 €";"Parallel Blu-ray";parallel-blu-ray;"DVD & Blueray";21315;;0.000000;1
933;122;11391;NSB-5051889689577;1;5051889689577;0.000000;0.000000;70;1;"16.43 €";"16.43 €";16.430000;16.430000;"19.72 €";"19.72 €";"Où est Anne Frank ! Blu-ray";ou-est-anne-frank-blu-ray;"DVD & Blueray";21312;;0.000000;1
932;122;11390;NSB-5051889702146;1;5051889702146;0.000000;0.000000;70;1;"14.13 €";"14.13 €";14.130000;14.130000;"16.96 €";"16.96 €";"Oranges sanguines Blu-ray";oranges-sanguines-blu-ray;"DVD & Blueray";21309;;0.000000;1
931;122;11389;NSB-5051889688464;1;5051889688464;0.000000;0.000000;70;1;"35.31 €";"35.31 €";35.310000;35.310000;"42.37 €";"42.37 €";"Ogre DVD";ogre-dvd;"DVD & Blueray";21306;;0.000000;1
930;122;11388;NSB-5051889688488;1;5051889688488;0.000000;0.000000;70;1;"14.13 €";"14.13 €";14.130000;14.130000;"16.96 €";"16.96 €";"Ogre Blu-ray";ogre-blu-ray;"DVD & Blueray";;;0.000000;1
929;122;11387;NSB-3700301056191;1;3700301056191;0.000000;0.000000;70;1;"14.13 €";"14.13 €";14.130000;14.130000;"16.96 €";"16.96 €";"Official Secrets Blu-ray";official-secrets-blu-ray;"DVD & Blueray";;;0.000000;1
928;122;11386;NSB-5051889622550;1;5051889622550;0.000000;0.000000;70;1;"12.49 €";"12.49 €";12.490000;12.490000;"14.99 €";"14.99 €";"Ocean's 8 - [Blu-ray]";ocean-s-8-blu-ray-;"DVD & Blueray";21299;;0.000000;9
927;122;11385;NSB-7321921396809;1;7321921396809;0.000000;0.000000;70;1;"4.17 €";"4.17 €";4.170000;4.170000;"5.00 €";"5.00 €";"OC, Californie - La première saison complète (7 DVD)";oc-californie-la-premiere-saison-complete-7-dvd;"DVD & Blueray";21296;;0.000000;1
926;122;11384;NSB-3475001063571;1;3475001063571;0.000000;0.000000;70;1;"10.83 €";"10.83 €";10.830000;10.830000;"13.00 €";"13.00 €";"Nightride DVD";nightride-dvd;"DVD & Blueray";21293;;0.000000;1
925;122;11383;NSB-5051889530527;1;5051889530527;0.000000;0.000000;70;1;"6.67 €";"6.67 €";6.670000;6.670000;"8.00 €";"8.00 €";"Night Run";night-run;"DVD & Blueray";21290;;0.000000;2
924;122;11382;NSB-3545020067406;1;3545020067406;0.000000;0.000000;70;1;"9.42 €";"9.42 €";9.420000;9.420000;"11.30 €";"11.30 €";Nevada;nevada;"DVD & Blueray";21287;;0.000000;2
923;122;11381;NSB-5051889041368;1;5051889041368;0.000000;0.000000;70;1;"8.33 €";"8.33 €";8.330000;8.330000;"10.00 €";"10.00 €";"Naturellement fleurs et plantes";naturellement-fleurs-et-plantes;"DVD & Blueray";;;0.000000;1
922;122;11380;NSB-5051889185123;1;5051889185123;0.000000;0.000000;70;1;"19.17 €";"19.17 €";19.170000;19.170000;"23.00 €";"23.00 €";"Naturellement animaux";naturellement-animaux;"DVD & Blueray";23501;;0.000000;1
921;122;11379;NSB-5051888250129;1;5051888250129;0.000000;0.000000;70;1;"5.83 €";"5.83 €";5.830000;5.830000;"7.00 €";"7.00 €";"Mortal Kombat Legends : Scorpion's Revenge DVD";mortal-kombat-legends-scorpion-s-revenge-dvd;"DVD & Blueray";;;0.000000;1
920;122;11378;NSB-5051888250136;1;5051888250136;0.000000;0.000000;70;1;"8.25 €";"8.25 €";8.250000;8.250000;"9.90 €";"9.90 €";"Mortal Kombat Legends : Scorpion's Revenge Blu-ray";mortal-kombat-legends-scorpion-s-revenge-blu-ray;"DVD & Blueray";21277;;0.000000;1
919;122;11377;NSB-5051889634447;1;5051889634447;0.000000;0.000000;70;1;"14.13 €";"14.13 €";14.130000;14.130000;"16.96 €";"16.96 €";"Monos Blu-ray";monos-blu-ray;"DVD & Blueray";21274;;0.000000;1
918;122;11376;NSB-5051889670414;1;5051889670414;0.000000;0.000000;70;1;"3.33 €";"3.33 €";3.330000;3.330000;"4.00 €";"4.00 €";"Mission Yéti DVD";mission-yeti-dvd;"DVD & Blueray";;;0.000000;1
917;122;11375;NSB-5051889706977;1;5051889706977;0.000000;0.000000;70;1;"29.15 €";"29.15 €";29.150000;29.150000;"34.98 €";"34.98 €";"Mission Spitfire DVD";mission-spitfire-dvd;"DVD & Blueray";21269;;0.000000;1
916;122;11374;NSB-5051889706960;1;5051889706960;0.000000;0.000000;70;1;"14.13 €";"14.13 €";14.130000;14.130000;"16.96 €";"16.96 €";"Mission Spitfire Blu-ray";mission-spitfire-blu-ray;"DVD & Blueray";21266;;0.000000;1
915;122;11373;NSB-5051889665182;1;5051889665182;0.000000;0.000000;70;1;"11.67 €";"11.67 €";11.666667;11.666667;"14.00 €";"14.00 €";"Miss Blu-ray";miss-blu-ray;"DVD & Blueray";21263;;0.000000;1
